시군명,설계사무소명,신고일,착공신고지도로명주소,착공신고지지번주소,시공사명,착공용도,위도,경도,데이터기준일
안양시,빔건축사사무소,2024-08-21,시민대로 131,경기도 안양시 동안구 호계동 901-13,주식회사중봉종합건설,제1종근린생활시설,37.388176,126.946695,2026-05-31
안양시,(주)경호엔지니어링종합건축사사무소,2024-10-07,,경기도 안양시 동안구 관양동 504-4 외32필지,재성종합건설(주),제1종근린생활시설,37.410388,126.963211,2026-05-31
안양시,일신 건축사사무소,2024-08-12,귀인로 51,경기도 안양시 동안구 호계동 910-4,(주)화성종합건설,공장,37.384056,126.946517,2026-05-31
안양시,(주)도원건축사사무소,2025-05-12,평촌대로117번길 23,경기도 안양시 동안구 호계동 1067-7,,단독주택,37.382165,126.95911,2026-05-31
안양시,(주)모을건축사사무소,2025-04-15,포도원로 36,경기도 안양시 동안구 호계동 859-26 외1필지,,제2종근린생활시설,37.362223,126.965983,2026-05-31
안양시,종합건축사사무소 포광,2025-01-23,학의로 260,경기도 안양시 동안구 관양동 1307-158 외2필지,서원풍력기계주식회사,제1종근린생활시설,37.402147,126.967516,2026-05-31
안양시,디앤에이건축사사무소(주),2024-11-27,관악대로106번길 70,경기도 안양시 동안구 비산동 414-5,,업무시설,37.397956,126.93897,2026-05-31
안양시,유영 건축사사무소,2024-10-10,관악대로 450,경기도 안양시 동안구 관양동 1474-19,,제2종근린생활시설,37.404177,126.972437,2026-05-31
안양시,주식회사 건축사사무소엔아이피,2024-09-06,비산로 8,경기도 안양시 동안구 비산동 1191,효성종합건설기술공사(주),교육연구시설,37.40043,126.93459,2026-05-31
안양시,이수 건축사사무소,2024-12-05,동편로183번길 67-9,경기도 안양시 동안구 관양동 1694-5,,단독주택,37.407375,126.97014,2026-05-31
안양시,(주)모을건축사사무소,2024-07-17,관악대로 419,경기도 안양시 동안구 관양동 1437-21,,제2종근린생활시설,37.405118,126.969471,2026-05-31
