시군명,명칭,주소,면적,취득일,데이터기준일자
안양시,제2정수장배출수처리,경기도 의왕시 복지로 28,1428.02,1997-05-27,2026-06-30
안양시,제2정수장발전실,경기도 의왕시 복지로 28,40,1984-10-01,2026-06-30
안양시,제2정수장경비초소,경기도 의왕시 복지로 28,12,1984-11-01,2026-06-30
안양시,제2정수장경비초소,경기도 의왕시 복지로 28,17,1988-12-01,2026-06-30
안양시,제2정수장경비초소,경기도 의왕시 복지로 28,4,1986-12-01,2026-06-30
안양시,제1정수장화장실,경기도 안양시 동안구 비산동 산 166,4,1982-07-01,2026-06-30
안양시,제1정수장탈수기동,경기도 안양시 동안구 비산동 산 166,960,1992-04-30,2026-06-30
안양시,제1정수장염소투입실,경기도 안양시 동안구 비산동 산 166,869,1993-07-25,2026-06-30
안양시,제1정수장염소투입실,경기도 안양시 동안구 비산동 산 166,116,1986-12-01,2026-06-30
안양시,제1정수장여과지실,경기도 안양시 동안구 비산동 산 166,1020,1993-07-25,2026-06-30
안양시,제1정수장여과지건물,경기도 안양시 동안구 비산동 산 166,572,1981-09-01,2026-06-30
안양시,제1정수장약품투입실,경기도 안양시 동안구 비산동 산 166,309,1993-07-25,2026-06-30
안양시,제1정수장약품투입실,경기도 안양시 동안구 비산동 산 166,144,1981-09-01,2026-06-30
안양시,제1정수장약품투입실,경기도 안양시 동안구 비산동 산 166,34,1973-07-01,2026-06-30
안양시,제1정수장액체염소투입실,경기도 안양시 동안구 비산동 산 166,72,1981-09-01,2026-06-30
안양시,제1정수장사택및초소,경기도 안양시 동안구 비산동 산 166,79,1993-07-25,2026-06-30
안양시,제1정수장사택,경기도 안양시 동안구 비산동 산 166,617,1973-10-01,2026-06-30
안양시,제1정수장본관,경기도 안양시 동안구 비산동 산 166,617,1973-10-01,2026-06-30
안양시,제1정수장발전실,경기도 안양시 동안구 비산동 산 166,34,1986-12-01,2026-06-30
안양시,제1정수장급수펌프실,경기도 안양시 동안구 비산동 산 166,246,1993-07-25,2026-06-30
안양시,제1정수장관리분관,경기도 안양시 동안구 비산동 산 166,609,1993-07-25,2026-06-30
안양시,제1정수장경비초소,경기도 안양시 동안구 비산동 산 166,5,1983-10-01,2026-06-30
안양시,제1정수장경비초소,경기도 안양시 동안구 비산동 산 166,4,1978-08-01,2026-06-30
안양시,제1정수장경비실,경기도 안양시 동안구 비산동 산 166,3.89,1996-12-24,2026-06-30
안양시,제1정수장경비실,경기도 안양시 동안구 비산동 산 166,40,1986-12-01,2026-06-30
안양시,정밀검사실험실,경기도 안양시 만안구 안양로 175,1983.24,2018-01-31,2026-06-30
안양시,전문연구동,경기도 안양시 만안구 안양로 175,2847.47,2018-01-31,2026-06-30
안양시,저수시설,경기도 안양시 동안구 흥안대로 313,61.6,1999-01-07,2026-06-30
안양시,장애인재활자립작업장,경기도 안양시 만안구 시민대로 34,345,2003-03-26,2026-06-30
안양시,장애인단체사무실,경기도 안양시 만안구 안양로384번길 44,533.95,1993-11-11,2026-06-30
안양시,작업동,경기도 안양시 동안구 흥안대로 313,136.5,1997-03-25,2026-06-30
안양시,자유센터,경기도 안양시 동안구 평촌대로 86,1544.09,1995-07-05,2026-06-30
안양시,자유놀이터화장실,경기도 안양시 동안구 호계동 1080,51.84,1995-02-20,2026-06-30
안양시,자유공원화장실,경기도 안양시 동안구 평촌대로 86,75.74,2017-01-31,2026-06-30
안양시,자유공원화장실,경기도 안양시 동안구 평촌대로 86,36,1995-12-05,2026-06-30
안양시,자유공원화장실,경기도 안양시 동안구 평촌대로 86,36,1995-12-05,2026-06-30
안양시,자유공원정자E,경기도 안양시 동안구 평촌대로 86,12.96,1995-12-05,2026-06-30
안양시,자유공원정자D,경기도 안양시 동안구 평촌대로 86,12.96,1995-12-05,2026-06-30
안양시,자유공원정자C,경기도 안양시 동안구 평촌대로 86,12.96,1995-12-05,2026-06-30
안양시,자유공원정자B,경기도 안양시 동안구 평촌대로 86,12.96,1995-12-05,2026-06-30
안양시,자유공원관리소,경기도 안양시 동안구 호계동 1113-2,36.63,1993-10-09,2026-06-30
안양시,자원회수시설,경기도 안양시 동안구 시민대로 328,6286.32,1997-03-31,2026-06-30
안양시,자연생태학습관,경기도 안양시 만안구 석수로 320,1499,2012-10-10,2026-06-30
안양시,자동차관련시설,경기도 안양시 동안구 평촌대로 452,517.7,1999-07-09,2026-06-30
안양시,일번가지하쇼핑몰(사무실),경기도 안양시 만안구 안양로314번길 22,1653.59,2006-04-05,2026-06-30
안양시,일번가지하쇼핑몰,경기도 안양시 만안구 만안로223번길 23-2,15824,1986-05-07,2026-06-30
안양시,인덕원환승주차장,경기도 안양시 동안구 안양판교로 23,35,1997-08-19,2026-06-30
안양시,인덕원경로당,경기도 안양시 동안구 관양로305번길 35,198,1998-04-11,2026-06-30
안양시,이동식화장실,경기도 안양시 만안구 안양동 967-3,10,2014-03-31,2026-06-30
안양시,율목종합사회복지관(행복나눔센터),경기도 안양시 만안구 안양동 714-169 성지요양원,177.74,2010-09-30,2026-06-30
안양시,율목종합사회복지관,경기도 안양시 만안구 병목안로130번길 166,1973.43,2003-03-03,2026-06-30
안양시,유유산업9동,경기도 안양시 만안구 예술공원로103번길 4,185.12,2007-06-07,2026-06-30
안양시,유유산업7동,경기도 안양시 만안구 예술공원로103번길 4,45.52,2007-06-06,2026-06-30
안양시,유유산업6동,경기도 안양시 만안구 예술공원로103번길 4,70.51,2007-06-05,2026-06-30
안양시,유유산업5동,경기도 안양시 만안구 예술공원로103번길 4,103.2,2007-06-04,2026-06-30
안양시,유유산업4동,경기도 안양시 만안구 예술공원로103번길 4,77.9,2007-06-03,2026-06-30
안양시,유유산업3동,경기도 안양시 만안구 예술공원로103번길 4,162.12,2007-06-02,2026-06-30
안양시,유유산업2동,경기도 안양시 만안구 예술공원로103번길 4,593.72,2007-06-01,2026-06-30
안양시,유유산업22동,경기도 안양시 만안구 예술공원로103번길 4,1282.08,2007-06-19,2026-06-30
안양시,유유산업21동,경기도 안양시 만안구 예술공원로103번길 4,2529.05,2007-06-18,2026-06-30
안양시,유유산업20동,경기도 안양시 만안구 예술공원로103번길 4,35.44,2007-06-17,2026-06-30
안양시,유유산업1동,경기도 안양시 만안구 예술공원로103번길 4,644.06,2007-05-31,2026-06-30
안양시,유유산업19동2호,경기도 안양시 만안구 예술공원로103번길 4,797.73,2007-06-16,2026-06-30
안양시,유유산업19동1호,경기도 안양시 만안구 예술공원로103번길 4,307.77,2007-06-15,2026-06-30
안양시,유유산업18동,경기도 안양시 만안구 예술공원로103번길 4,201.66,2007-06-14,2026-06-30
안양시,유유산업17동,경기도 안양시 만안구 예술공원로103번길 4,53.29,2007-06-13,2026-06-30
안양시,유유산업16동,경기도 안양시 만안구 예술공원로103번길 4,384.92,2007-06-12,2026-06-30
안양시,유유산업15동,경기도 안양시 만안구 예술공원로103번길 4,28.83,2007-06-11,2026-06-30
안양시,유유산업12동,경기도 안양시 만안구 예술공원로103번길 4,230.38,2007-06-10,2026-06-30
안양시,유유산업11동,경기도 안양시 만안구 예술공원로103번길 4,11.74,2007-06-09,2026-06-30
안양시,유유산업10동,경기도 안양시 만안구 예술공원로103번길 4,8.79,2007-06-08,2026-06-30
안양시,위생처리장3동(처리동),경기도 안양시 만안구 화창로 10,415.8,2002-12-02,2026-06-30
안양시,위생처리장2동(관리사택),경기도 안양시 만안구 화창로 10,284.28,1991-02-18,2026-06-30
안양시,위생처리장1동(관리동),경기도 안양시 만안구 화창로 10,265.74,1991-02-28,2026-06-30
안양시,운곡공원화장실,경기도 안양시 동안구 비산동 산 74,36.3,2000-12-31,2026-06-30
안양시,운곡공원화장실,경기도 안양시 동안구 비산동 249-6,36.27,1999-06-26,2026-06-30
안양시,오물처리동,경기도 안양시 동안구 흥안대로 313,302.4,1997-03-25,2026-06-30
안양시,예술공원화장실,경기도 안양시 만안구 석수동 산 20,39.96,1984-07-09,2026-06-30
안양시,예술공원주차장화장실,경기도 안양시 만안구 석수동 240-17,49.5,1982-11-02,2026-06-30
안양시,연현배수펌프장,경기도 안양시 만안구 연현로 128,220,2000-01-01,2026-06-30
안양시,역돈사,경기도 안양시 만안구 안양로 175,167.6,2018-01-31,2026-06-30
안양시,어울마당,경기도 안양시 만안구 예술공원로103번길 4,173.26,2013-10-31,2026-06-30
안양시,어수정경로당,경기도 안양시 만안구 박달로539번길 32-4,136.24,2004-02-17,2026-06-30
안양시,어린이공원8호화장실,경기도 안양시 동안구 호계동 1053-5,29,2017-01-31,2026-06-30
안양시,어린이공원19호화장실,경기도 안양시 동안구 평촌동 927,29,2017-01-31,2026-06-30
안양시,어린이공원17호화장실,경기도 안양시 동안구 호계동 1061,29,2017-01-31,2026-06-30
안양시,어린이공원15호화장실,경기도 안양시 동안구 호계동 1055-2,29,2017-01-31,2026-06-30
안양시,양화 경로당,경기도 안양시 만안구 양화로97번길 38-3,132.36,2014-09-05,2026-06-30
안양시,양지경로당,경기도 안양시 만안구 양화로37번길 6-1,189.48,2018-06-07,2026-06-30
안양시,야외수영장,경기도 안양시 동안구 평촌대로 389,1394.96,2001-07-11,2026-06-30
안양시,안전연구실(2동),경기도 안양시 만안구 안양로 175,348,2018-01-31,2026-06-30
안양시,안전연구실,경기도 안양시 만안구 안양로 175,325.06,2018-01-31,2026-06-30
안양시,안전성연구동,경기도 안양시 만안구 안양로 175,1851.2,2018-01-31,2026-06-30
안양시,안양창업지원센터,경기도 안양시 동안구 시민대로327번길 11-41,14792.21,2015-08-19,2026-06-30
안양시,안양어린이도서관,경기도 안양시 동안구 동안로 66,3280.67,2007-07-16,2026-06-30
안양시,안양양궁장,경기도 안양시 동안구 관악대로121번길 79,572.6,2002-11-04,2026-06-30
안양시,안양양궁장,경기도 안양시 동안구 관악대로121번길 79,114,2002-11-04,2026-06-30
안양시,안양알바로시자홀,경기도 안양시 만안구 예술공원로 180,781.45,2006-05-16,2026-06-30
안양시,안양아트센터야외공연장,경기도 안양시 만안구 문예로36번길 16,104.2,1989-12-13,2026-06-30
안양시,안양아트센터,경기도 안양시 만안구 문예로36번길 16,15188.4,1989-12-13,2026-06-30
안양시,안양실내게이트볼장화장실,경기도 안양시 동안구 경수대로665번길 74-29,36,1999-11-06,2026-06-30
안양시,안양실내게이트볼장,경기도 안양시 동안구 경수대로665번길 74-29,1468.47,2004-12-23,2026-06-30
안양시,안양시장애인재활자립작업장,경기도 안양시 만안구 안양동 219-9 성일디지털타워제4층제402호,184.65,2015-12-01,2026-06-30
안양시,안양시예절교육관(본관),경기도 안양시 동안구 평촌대로401번길 62,252.7,1990-08-27,2026-06-30
