시설,주소,규모(제곱미터),최대 수용인원(명)
비산e편한세상아파트 지하주차장,"경기도 안양시 동안구 관악대로 171(비산동, 비산 이-편한세상)",14105,17096
비산힐스테이트아파트 지하주차장,"경기도 안양시 동안구 안양천동로 162(비산동, 비산힐스테이트아파트)",15325,18575
비산한화꿈에그린아파트 지하주차장,"경기도 안양시 동안구 경수대로883번길 33(비산동, 비산한화꿈에그린아파트)",42921,52025
평촌래미안푸르지오 아파트 지하주차장,"경기도 안양시 동안구 경수대로884번길 12(비산동, 평촌래미안푸르지오)",55574,67362
동양월드아파트 지하주차장,"경기도 안양시 동안구 관악대로 183(비산동, 동양월드타워)",5850,7090
종합운동장 빙상장 지하주차장,경기도 안양시 동안구 평촌대로 389(비산동),5850,7090
비산중학교 지하주차장,경기도 안양시 동안구 평촌대로427번길 42(비산동),169,204
비산3동행정복지센터 지하주차장,경기도 안양시 동안구 운곡로 34(비산동),703,852
부영아파트 지하주차장,"경기도 안양시 동안구 학의로 46(비산동, 관악부영아파트)",9100,11030
관악타운아파트 118동,"경기도 안양시 동안구 학의로 20(비산동, 관악아파트)",6017,7293
관악타운아파트 127동,"경기도 안양시 동안구 학의로 20(비산동, 관악아파트)",7481,9067
관악타운아파트 136동,"경기도 안양시 동안구 학의로 20(비산동, 관악아파트)",5461,6619
은하수벽산 지하주차장,"경기도 안양시 동안구 시민대로159번길 62(비산동, 은하수벽산아파트)",6799,8241
은하수신성아파트 지하주차장,"경기도 안양시 동안구 달안로 40(비산동, 은하수신성아파트)",6617,8020
은하수청구아파트 지하주차장,"경기도 안양시 동안구 시민대로159번길 41(비산동, 은하수청구아파트)",7509,9101
은하수한양아파트 지하주차장,"경기도 안양시 동안구 동안로159번길 14(비산동, 은하수한양아파트)",1957,2372
샛별아파트1차 지하주차장,"경기도 안양시 동안구 달안로 62(비산동, 샛별한양아파트)",4194,5083
샛별아파트4-1차 지하주차장,경기도 안양시 동안구 동안로 194(비산동),4994,6053
"샛별아파트4-2,3차 지하주차장","경기도 안양시 동안구 달안로 75(비산동, 샛별한양아파트)",15386,18649
홈플러스 평촌점,"경기도 안양시 동안구 평촌대로253번길 48(비산동, 샛별한양아파트)",9620,11660
농협중앙회 안양시지부,경기도 안양시 동안구 시민대로 197(비산동),992,1202
달안동 행정복지센터 지하,경기도 안양시 동안구 달안로 65(비산동),248,300
안양우체국,경기도 안양시 동안구 평촌대로253번길 25(비산동),142,172
KT안양지사,경기도 안양시 동안구 평촌대로 243(비산동),727,881
동안구청,경기도 안양시 동안구 동안로 158(비산동),3759,4556
동안구보건소,경기도 안양시 동안구 평촌대로253번길 41(비산동),307,372
농협앞 지하보도,경기도 안양시 동안구 시민대로 199(비산동),231,280
동호빌딩 지하,경기도 안양시 동안구 관악대로 353(관양동),165,200
해동놀이터 지하주차장,경기도 안양시 동안구 관악대로287번길 104-22(관양동),2619,3174
이너스내안에아파트 지하주차장,"경기도 안양시 동안구 관악대로318번길 8(관양동, 이너스내안에아파트)",1845,2236
신일해피트리아파트 지하주차장,"경기도 안양시 동안구 관악대로360번길 29-10(관양동, 신일해피트리)",1789,2168
동편마을4단지아파트 지하주차장,"경기도 안양시 동안구 동편로 135(관양동, 동편마을)",36927,44760
동편마을 공영주차장,경기도 안양시 동안구 동편로39번길 20-5(관양동),5289,6410
석영빌딩,경기도 안양시 동안구 관악대로 430(관양동),1359,1647
인덕원 지하철역 지하,경기도 안양시 동안구 흥안대로 지하529(관양동),2248,2724
비해빌딩,경기도 안양시 동안구 흥안대로 493(관양동),430,521
다목적 복지회관 지하,경기도 안양시 동안구 인덕원로24번길 60(관양동),185,224
인덕원마을삼성아파트 지하주차장,"경기도 안양시 동안구 안양판교로 42(관양동, 인덕원마을삼성아파트)",29277,35487
평촌더샵 센트럴시티 지하주차장,"경기도 안양시 동안구 시민대로327번길 55(관양동, 평촌더샵센트럴시티)",59904,72610
평촌오비즈타워 지하주차장(지하1~3층),경기도 안양시 동안구 관양동 1802 평촌 오비즈타워,26985,32710
성일아파트 지하주차장,"경기도 안양시 동안구 달안로 153(관양동, 공작성일아파트)",8555,10369
럭키아파트 지하주차장,"경기도 안양시 동안구 학의로 168(관양동, 공작럭키아파트)",2853,3458
두산아파트 지하주차장,"경기도 안양시 동안구 달안로 125(관양동, 한가람두산아파트)",4661,5649
삼성아파트 지하주차장,"경기도 안양시 동안구 학의로 146(관양동, 한가람삼성아파트)",8020,9721
한양아파트 지하주차장,"경기도 안양시 동안구 학의로 120(관양동, 한가람한양아파트)",8301,10061
평촌지하공영주차장,경기도 안양시 동안구 관양동 1591-5,33808,40979
안양시청지하주차장,경기도 안양시 동안구 시민대로 235(관양동),11240,13624
부림동행정복지센터,경기도 안양시 동안구 달안로 154(관양동),198,240
KEB하나은행앞 지하보도,경기도 안양시 동안구 시민대로 286(관양동),198,240
조선일보앞 지하보도,경기도 안양시 동안구 관평로 175(관양동),202,244
한양아파트 앞 지하보도,경기도 안양시 동안구 달안로 95(관양동),198,240
시청앞 지하보도,경기도 안양시 동안구 시민대로 235(관양동),793,961
평촌지하철역 지하,경기도 안양시 동안구 관양동 1608-1 평촌역,8529,10338
인덕원 대우아파트 지하주차장,"경기도 안양시 동안구 학의로 390(평촌동, 인덕원대우아파트푸른마을)",52172,63238
한일미래아파트 지하주차장,"경기도 안양시 동안구 흥안대로456번길 40(평촌동, 한일미래아파트)",4152,5032
인덕원대림아파트 지하주차장,"경기도 안양시 동안구 흥안대로 446-20(평촌동, 인덕원대림아파트)",4212,5105
영풍아파트 지하주차장,"경기도 안양시 동안구 흥안대로414번길 20(평촌동, 영풍아파트)",6136,7437
삼성래미안아파트 지하주차장,"경기도 안양시 동안구 흥안대로456번길 66(평촌동, 삼성래미안 아파트)",10549,12786
인덕원대림2차아파트 지하주차장,"경기도 안양시 동안구 흥안대로414번길 39(평촌동, 인덕원 대림2차 아파트)",19301,23395
평촌e-편한세상아파트 지하주차장,"경기도 안양시 동안구 흥안대로456번길 17(평촌동, 평촌 이편한세상)",17753,21518
평촌동 행정복지센터 지하,경기도 안양시 동안구 흥안대로456번길 21(평촌동),705,854
세경아파트 지하주차장,"경기도 안양시 동안구 관평로138번길 13(평촌동, 초원세경아파트)",5052,6123
