dong,n,nl,sum,mean,nl_pct,v_pct
평촌동,917,120,81,0.10318471337579618,13.086150490730644,10.318471337579618
박달동,2349,456,151,0.07980972515856237,19.4125159642401,7.980972515856237
비산동,2619,382,93,0.041816546762589925,14.585719740358915,4.181654676258993
석수동,3502,744,225,0.08158085569253082,21.245002855511135,8.158085569253082
관양동,3623,352,256,0.0784313725490196,9.715705216671267,7.8431372549019605
호계동,4075,396,171,0.046543277082199234,9.717791411042946,4.654327708219923
안양동,10628,1662,596,0.06651043410333668,15.637937523522771,6.651043410333668
